mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cls__C,param_cls__kernel,param_vec__max_features,param_vec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
18.5030033826828,0.3437242465731921,1.372993564605713,0.04777921126140551,2,rbf,1000,"(1, 1)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (1, 1)}",0.8316666666666667,0.8516666666666667,0.8083333333333333,0.815,0.8316666666666667,0.8,0.8166666666666667,0.8033333333333333,0.8133333333333334,0.855,0.8226666666666667,0.018230011885167083,27
27.02629084587097,0.9551537035152148,1.7617436647415161,0.08043342335958577,2,rbf,1000,"(1, 2)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (1, 2)}",0.8366666666666667,0.8416666666666667,0.7983333333333333,0.815,0.8183333333333334,0.7916666666666666,0.8233333333333334,0.8166666666666667,0.81,0.8416666666666667,0.8193333333333334,0.016230971765253142,30
31.247356057167053,0.31907935702641904,1.9659552335739137,0.07894947184690415,2,rbf,1000,"(1, 3)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (1, 3)}",0.8383333333333334,0.8316666666666667,0.805,0.8116666666666666,0.81,0.7983333333333333,0.8233333333333334,0.8083333333333333,0.8016666666666666,0.8383333333333334,0.8166666666666668,0.01429840705968482,31
36.75976490974426,0.27578291519314446,2.0978808879852293,0.14664310147240525,2,rbf,1000,"(1, 4)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (1, 4)}",0.8366666666666667,0.8333333333333334,0.8033333333333333,0.8116666666666666,0.81,0.7966666666666666,0.8233333333333334,0.8083333333333333,0.8,0.8383333333333334,0.8161666666666667,0.01477704676554525,32
14.058570837974548,0.3706463474407579,0.9277855157852173,0.058096345136868954,2,rbf,1000,"(2, 2)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (2, 2)}",0.7783333333333333,0.7766666666666666,0.775,0.7466666666666667,0.76,0.7566666666666667,0.745,0.7316666666666667,0.7666666666666667,0.7833333333333333,0.762,0.016138291249213593,40
20.046309971809386,0.37853260206152956,1.139215111732483,0.07457632633901704,2,rbf,1000,"(2, 3)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (2, 3)}",0.7566666666666667,0.77,0.77,0.7433333333333333,0.7583333333333333,0.7583333333333333,0.7416666666666667,0.7283333333333334,0.7583333333333333,0.7816666666666666,0.7566666666666666,0.014813657362192633,42
26.074361944198607,0.30331458671862843,1.2239387512207032,0.07427814167840932,2,rbf,1000,"(2, 4)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (2, 4)}",0.7583333333333333,0.7666666666666667,0.77,0.7433333333333333,0.76,0.7533333333333333,0.7383333333333333,0.7283333333333334,0.7516666666666667,0.7716666666666666,0.7541666666666667,0.01344226336761947,43
7.390352582931518,0.1570710784581908,0.2869033098220825,0.006897489909936445,2,rbf,1000,"(3, 3)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (3, 3)}",0.7183333333333334,0.715,0.7,0.6683333333333333,0.71,0.6866666666666666,0.6833333333333333,0.69,0.6683333333333333,0.725,0.6964999999999999,0.01929953943031341,47
13.978750133514405,0.5752340975096817,0.40677318572998045,0.04069925765192629,2,rbf,1000,"(3, 4)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (3, 4)}",0.72,0.72,0.6983333333333334,0.665,0.7166666666666667,0.695,0.68,0.6716666666666666,0.65,0.7433333333333333,0.696,0.027840817357094785,48
6.718099617958069,0.28440801528402726,0.17023141384124757,0.018095628368296843,2,rbf,1000,"(4, 4)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 1000, 'vec__ngram_range': (4, 4)}",0.66,0.6283333333333333,0.65,0.645,0.645,0.6166666666666667,0.6266666666666667,0.605,0.625,0.6433333333333333,0.6345,0.01602168669162035,50
26.399068355560303,0.21389910911533966,2.0904114484786986,0.07913801706716904,2,rbf,10000,"(1, 1)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 10000, 'vec__ngram_range': (1, 1)}",0.8516666666666667,0.8533333333333334,0.8266666666666667,0.825,0.8433333333333334,0.8016666666666666,0.8383333333333334,0.8266666666666667,0.8333333333333334,0.8733333333333333,0.8373333333333333,0.01860704764927049,15
42.19218406677246,0.34649555255324715,3.2156182765960692,0.09023289058732298,2,rbf,10000,"(1, 2)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 10000, 'vec__ngram_range': (1, 2)}",0.865,0.865,0.84,0.8366666666666667,0.8633333333333333,0.8266666666666667,0.855,0.8416666666666667,0.855,0.865,0.8513333333333334,0.013329166015421464,6
49.07398762702942,1.2817915028004947,3.3959262132644654,0.13947574054369974,2,rbf,10000,"(1, 3)","{'cls__C': 2, 'cls__kernel': 'rbf', 'vec__max_features': 10000, 'vec__ngram_range': (1, 3)}",0.8716666666666667,0.855,0.8433333333333334,0.8366666666666667,0.8583333333333333,0.8266666666666667,0.8633333333333333,0.8416666666666667,0.86,0.87,0.8526666666666667,0.014165686240583848,4
