,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_loss,param_penalty,param_dual
0,25.068299746513368,0.3806188927272384,2.5188859939575194,0.023865849658379134,0.0625,linear,,"{'C': 0.0625, 'kernel': 'linear'}",0.78,0.7683333333333333,0.7783333333333333,0.7483333333333333,0.7783333333333333,0.7483333333333333,0.7466666666666667,0.7583333333333333,0.7683333333333333,0.8066666666666666,0.7681666666666667,0.017817750200915444,35,,,
1,29.64863500595093,0.33651964911271526,2.3214117765426634,0.08636794912168924,0.0625,rbf,,"{'C': 0.0625, 'kernel': 'rbf'}",0.5066666666666667,0.5066666666666667,0.5083333333333333,0.51,0.505,0.5066666666666667,0.505,0.5066666666666667,0.505,0.505,0.5065,0.0015723301886760993,54,,,
2,26.476112127304077,0.19620830215710394,2.483939862251282,0.08731985663432916,0.0625,sigmoid,,"{'C': 0.0625, 'kernel': 'sigmoid'}",0.7783333333333333,0.7616666666666667,0.7716666666666666,0.7483333333333333,0.7816666666666666,0.7466666666666667,0.7516666666666667,0.76,0.7616666666666667,0.8066666666666666,0.7668333333333333,0.017439578231393332,36,,,
3,23.690570139884947,0.2915397849388106,2.435186171531677,0.023895604384698857,0.125,linear,,"{'C': 0.125, 'kernel': 'linear'}",0.8133333333333334,0.8016666666666666,0.7916666666666666,0.79,0.8066666666666666,0.7716666666666666,0.78,0.775,0.79,0.8266666666666667,0.7946666666666667,0.016579773487261182,31,,,
4,29.55576584339142,0.23634001198945162,2.477086400985718,0.011408493809720477,0.125,rbf,,"{'C': 0.125, 'kernel': 'rbf'}",0.775,0.755,0.755,0.7416666666666667,0.7366666666666667,0.7333333333333333,0.7416666666666667,0.7533333333333333,0.76,0.7916666666666666,0.7543333333333333,0.01711399687065791,42,,,
5,24.77152602672577,0.34756800516561204,2.3179982900619507,0.08473530629627964,0.125,sigmoid,,"{'C': 0.125, 'kernel': 'sigmoid'}",0.8116666666666666,0.7983333333333333,0.79,0.7866666666666666,0.7983333333333333,0.77,0.7783333333333333,0.7783333333333333,0.79,0.825,0.7926666666666666,0.015638272140986526,32,,,
6,21.83964729309082,0.5987110206141281,2.2035034894943237,0.0413015332514335,0.25,linear,,"{'C': 0.25, 'kernel': 'linear'}",0.8266666666666667,0.825,0.8033333333333333,0.7933333333333333,0.8133333333333334,0.8016666666666666,0.815,0.8016666666666666,0.82,0.8466666666666667,0.8146666666666667,0.014922019523732927,19,,,
7,28.31925630569458,0.15581870059866385,2.3819612741470335,0.03854082100414599,0.25,rbf,,"{'C': 0.25, 'kernel': 'rbf'}",0.7916666666666666,0.79,0.7933333333333333,0.7783333333333333,0.795,0.7616666666666667,0.775,0.77,0.7833333333333333,0.81,0.7848333333333333,0.013342705039750291,33,,,
8,22.424542236328126,0.3757213535916954,2.1518541812896728,0.036396432981920274,0.25,sigmoid,,"{'C': 0.25, 'kernel': 'sigmoid'}",0.8266666666666667,0.825,0.7966666666666666,0.7966666666666666,0.8133333333333334,0.8,0.8116666666666666,0.7983333333333333,0.8183333333333334,0.845,0.8131666666666668,0.015173990905493512,20,,,
9,20.155387544631957,0.3737837199143673,2.0260945558547974,0.06739975690603214,0.5,linear,,"{'C': 0.5, 'kernel': 'linear'}",0.8516666666666667,0.85,0.805,0.8166666666666667,0.8266666666666667,0.8,0.8283333333333334,0.8183333333333334,0.83,0.8533333333333334,0.828,0.017962924780409967,13,,,
10,26.989128613471983,0.18547680553401238,2.3272427320480347,0.018683772686865215,0.5,rbf,,"{'C': 0.5, 'kernel': 'rbf'}",0.8333333333333334,0.825,0.805,0.8033333333333333,0.82,0.785,0.8116666666666666,0.8016666666666666,0.8166666666666667,0.8483333333333334,0.8149999999999998,0.017029386365926404,18,,,
11,19.849365711212158,0.39196756653499915,1.9432031393051148,0.01892346576645846,0.5,sigmoid,,"{'C': 0.5, 'kernel': 'sigmoid'}",0.8433333333333334,0.8416666666666667,0.8083333333333333,0.815,0.8233333333333334,0.8033333333333333,0.8316666666666667,0.8183333333333334,0.835,0.8583333333333333,0.8278333333333332,0.016381731016931966,14,,,
12,18.957146763801575,0.13267461185955742,1.8541616678237915,0.03470636850197632,1.0,linear,,"{'C': 1.0, 'kernel': 'linear'}",0.8566666666666667,0.8483333333333334,0.8183333333333334,0.8233333333333334,0.8416666666666667,0.8066666666666666,0.8133333333333334,0.835,0.83,0.8566666666666667,0.833,0.016829207415152456,9,,,
13,27.09886500835419,0.11291922020553338,2.2504066705703734,0.02377617744070916,1.0,rbf,,"{'C': 1.0, 'kernel': 'rbf'}",0.8466666666666667,0.855,0.8116666666666666,0.8133333333333334,0.83,0.8066666666666666,0.8283333333333334,0.8216666666666667,0.8266666666666667,0.8633333333333333,0.8303333333333333,0.018040078836979737,11,,,
14,18.109744572639464,0.2100074743727259,1.7328996658325195,0.022418011654773348,1.0,sigmoid,,"{'C': 1.0, 'kernel': 'sigmoid'}",0.8533333333333334,0.8466666666666667,0.815,0.82,0.8416666666666667,0.805,0.81,0.8283333333333334,0.8216666666666667,0.8466666666666667,0.8288333333333334,0.016262601951170744,12,,,
15,21.447292804718018,0.37197876540010744,1.77289617061615,0.04147329343992061,2.0,linear,,"{'C': 2.0, 'kernel': 'linear'}",0.8533333333333334,0.8516666666666667,0.8083333333333333,0.8216666666666667,0.8233333333333334,0.805,0.8166666666666667,0.8266666666666667,0.825,0.845,0.8276666666666668,0.01614517471774978,15,,,
16,28.515797090530395,0.23416205549776745,2.244974970817566,0.031294691916438015,2.0,rbf,,"{'C': 2.0, 'kernel': 'rbf'}",0.85,0.86,0.8233333333333334,0.8283333333333334,0.8466666666666667,0.8033333333333333,0.8333333333333334,0.825,0.8416666666666667,0.8766666666666667,0.8388333333333333,0.019763181255388347,1,,,
17,16.520366668701172,0.3202655966102308,1.5181230545043944,0.02121259555575593,2.0,sigmoid,,"{'C': 2.0, 'kernel': 'sigmoid'}",0.855,0.8483333333333334,0.81,0.8133333333333334,0.8333333333333334,0.8,0.8116666666666666,0.815,0.81,0.8433333333333334,0.8240000000000001,0.018245242911205346,16,,,
