mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cls__C,param_cls__kernel,param_cls__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_cls__loss,param_cls__penalty,param_cls__dual,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,split6_test_acc,split7_test_acc,split8_test_acc,split9_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_mse,split1_test_mse,split2_test_mse,split3_test_mse,split4_test_mse,split5_test_mse,split6_test_mse,split7_test_mse,split8_test_mse,split9_test_mse,mean_test_mse,std_test_mse,rank_test_mse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,mean_test_mae,std_test_mae,rank_test_mae
25.62898895740509,0.42727782689372157,2.619433546066284,0.04086102925379919,0.0625,linear,,"{'cls__C': 0.0625, 'cls__kernel': 'linear'}",0.78,0.7633333333333333,0.7783333333333333,0.7516666666666667,0.7716666666666666,0.75,0.7516666666666667,0.77,0.7633333333333333,0.8116666666666666,0.7691666666666667,0.017499999999999988,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.572666501998903,0.22098821977527483,2.4996665477752686,0.11813735344172885,0.0625,rbf,,"{'cls__C': 0.0625, 'cls__kernel': 'rbf'}",0.5066666666666667,0.5066666666666667,0.5083333333333333,0.51,0.505,0.5066666666666667,0.505,0.5066666666666667,0.505,0.505,0.5065,0.0015723301886760993,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.290786623954773,0.2541129525945834,2.5688268184661864,0.0630042843429039,0.0625,sigmoid,,"{'cls__C': 0.0625, 'cls__kernel': 'sigmoid'}",0.7816666666666666,0.76,0.7716666666666666,0.7483333333333333,0.77,0.75,0.7533333333333333,0.7616666666666667,0.76,0.81,0.7666666666666666,0.017448336437736547,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.641665387153626,0.4128525651133783,2.5277304649353027,0.06674738512932106,0.125,linear,,"{'cls__C': 0.125, 'cls__kernel': 'linear'}",0.8083333333333333,0.8033333333333333,0.7883333333333333,0.7933333333333333,0.8083333333333333,0.77,0.7816666666666666,0.7766666666666666,0.7933333333333333,0.8233333333333334,0.7946666666666666,0.015542057635833037,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.394816207885743,0.2570396447969815,2.547970175743103,0.09175222646661026,0.125,rbf,,"{'cls__C': 0.125, 'cls__kernel': 'rbf'}",0.78,0.7516666666666667,0.755,0.7433333333333333,0.7333333333333333,0.7366666666666667,0.74,0.7583333333333333,0.7616666666666667,0.7933333333333333,0.7553333333333333,0.018239152027072617,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.723580884933472,0.32961724236041773,2.4307263612747194,0.04558003111120049,0.125,sigmoid,,"{'cls__C': 0.125, 'cls__kernel': 'sigmoid'}",0.8083333333333333,0.8,0.7883333333333333,0.79,0.8,0.7683333333333333,0.7816666666666666,0.7783333333333333,0.7883333333333333,0.82,0.7923333333333333,0.014360439485692015,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.707755494117738,0.48951303142249175,2.273818016052246,0.05598859442037886,0.25,linear,,"{'cls__C': 0.25, 'cls__kernel': 'linear'}",0.8266666666666667,0.825,0.7983333333333333,0.7983333333333333,0.81,0.8016666666666666,0.8133333333333334,0.8016666666666666,0.8183333333333334,0.8466666666666667,0.8140000000000001,0.014761059883656353,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.045116686820982,0.2782450059377982,2.5174333572387697,0.058513343078411155,0.25,rbf,,"{'cls__C': 0.25, 'cls__kernel': 'rbf'}",0.7933333333333333,0.7866666666666666,0.7966666666666666,0.7816666666666666,0.7983333333333333,0.7583333333333333,0.78,0.775,0.78,0.8116666666666666,0.7861666666666667,0.013985111130532116,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.3414395570755,0.34183993527700657,2.245653223991394,0.04925214780203405,0.25,sigmoid,,"{'cls__C': 0.25, 'cls__kernel': 'sigmoid'}",0.8266666666666667,0.8233333333333334,0.7933333333333333,0.7966666666666666,0.8116666666666666,0.8,0.8133333333333334,0.7983333333333333,0.8166666666666667,0.845,0.8125,0.015388487760516151,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.03310971260071,0.2711285516207421,2.0681093454360964,0.07239570001659516,0.5,linear,,"{'cls__C': 0.5, 'cls__kernel': 'linear'}",0.8516666666666667,0.8483333333333334,0.805,0.815,0.8266666666666667,0.8,0.8283333333333334,0.82,0.825,0.855,0.8275,0.01804700652308976,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.766722536087038,0.18376338544925697,2.3671678066253663,0.09491224225432542,0.5,rbf,,"{'cls__C': 0.5, 'cls__kernel': 'rbf'}",0.8316666666666667,0.825,0.805,0.805,0.8183333333333334,0.7883333333333333,0.8133333333333334,0.8,0.8166666666666667,0.8466666666666667,0.8149999999999998,0.01591644851508442,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
