mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cls__C,param_cls__kernel,param_cls__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_cls__loss,param_cls__penalty,param_cls__dual
25.50207886695862,0.5086735465082022,2.6515392541885374,0.03019380493965944,0.0625,linear,,"{'cls__C': 0.0625, 'cls__kernel': 'linear'}",0.78,0.7633333333333333,0.7783333333333333,0.7516666666666667,0.7716666666666666,0.75,0.7516666666666667,0.77,0.7633333333333333,0.8116666666666666,0.7691666666666667,0.017499999999999988,39,,,
30.68182153701782,0.1503873046471715,2.4790234565734863,0.13069715718471944,0.0625,rbf,,"{'cls__C': 0.0625, 'cls__kernel': 'rbf'}",0.5066666666666667,0.5066666666666667,0.5083333333333333,0.51,0.505,0.5066666666666667,0.505,0.5066666666666667,0.505,0.505,0.5065,0.0015723301886760993,54,,,
27.207792592048644,0.2244486428237731,2.572193217277527,0.12188147534298399,0.0625,sigmoid,,"{'cls__C': 0.0625, 'cls__kernel': 'sigmoid'}",0.7816666666666666,0.76,0.7716666666666666,0.7483333333333333,0.77,0.75,0.7533333333333333,0.7616666666666667,0.76,0.81,0.7666666666666666,0.017448336437736547,40,,,
24.513590717315672,0.37629552216923967,2.4748309373855593,0.040173651525707316,0.125,linear,,"{'cls__C': 0.125, 'cls__kernel': 'linear'}",0.8083333333333333,0.8033333333333333,0.7883333333333333,0.7933333333333333,0.8083333333333333,0.77,0.7816666666666666,0.7766666666666666,0.7933333333333333,0.8233333333333334,0.7946666666666666,0.015542057635833037,31,,,
30.365953350067137,0.3237427825946539,2.5179619550704957,0.09911501653860812,0.125,rbf,,"{'cls__C': 0.125, 'cls__kernel': 'rbf'}",0.78,0.7516666666666667,0.755,0.7433333333333333,0.7333333333333333,0.7366666666666667,0.74,0.7583333333333333,0.7616666666666667,0.7933333333333333,0.7553333333333333,0.018239152027072617,44,,,
25.63877911567688,0.29211805635703253,2.4430601596832275,0.08353034778381187,0.125,sigmoid,,"{'cls__C': 0.125, 'cls__kernel': 'sigmoid'}",0.8083333333333333,0.8,0.7883333333333333,0.79,0.8,0.7683333333333333,0.7816666666666666,0.7783333333333333,0.7883333333333333,0.82,0.7923333333333333,0.014360439485692015,32,,,
22.62977867126465,0.46700217024084995,2.2945263624191283,0.0968655311217289,0.25,linear,,"{'cls__C': 0.25, 'cls__kernel': 'linear'}",0.8266666666666667,0.825,0.7983333333333333,0.7983333333333333,0.81,0.8016666666666666,0.8133333333333334,0.8016666666666666,0.8183333333333334,0.8466666666666667,0.8140000000000001,0.014761059883656353,19,,,
29.06921181678772,0.30144525917650183,2.475403666496277,0.08698074574423577,0.25,rbf,,"{'cls__C': 0.25, 'cls__kernel': 'rbf'}",0.7933333333333333,0.7866666666666666,0.7966666666666666,0.7816666666666666,0.7983333333333333,0.7583333333333333,0.78,0.775,0.78,0.8116666666666666,0.7861666666666667,0.013985111130532116,33,,,
23.27922852039337,0.3450627556536401,2.236425828933716,0.06292838010478848,0.25,sigmoid,,"{'cls__C': 0.25, 'cls__kernel': 'sigmoid'}",0.8266666666666667,0.8233333333333334,0.7933333333333333,0.7966666666666666,0.8116666666666666,0.8,0.8133333333333334,0.7983333333333333,0.8166666666666667,0.845,0.8125,0.015388487760516151,20,,,
21.029883861541748,0.2615583548282868,2.116144323348999,0.06418138047585961,0.5,linear,,"{'cls__C': 0.5, 'cls__kernel': 'linear'}",0.8516666666666667,0.8483333333333334,0.805,0.815,0.8266666666666667,0.8,0.8283333333333334,0.82,0.825,0.855,0.8275,0.01804700652308976,13,,,
27.652374863624573,0.2868581741670325,2.418961787223816,0.14083087543635275,0.5,rbf,,"{'cls__C': 0.5, 'cls__kernel': 'rbf'}",0.8316666666666667,0.825,0.805,0.805,0.8183333333333334,0.7883333333333333,0.8133333333333334,0.8,0.8166666666666667,0.8466666666666667,0.8149999999999998,0.01591644851508442,18,,,
20.671640396118164,0.47301110758162496,2.0051427841186524,0.09556614171968053,0.5,sigmoid,,"{'cls__C': 0.5, 'cls__kernel': 'sigmoid'}",0.8416666666666667,0.8416666666666667,0.81,0.8133333333333334,0.8233333333333334,0.805,0.8316666666666667,0.82,0.8283333333333334,0.86,0.8275,0.016007810593582108,13,,,
19.702636647224427,0.23059985233001515,1.975454044342041,0.07399412460502146,1.0,linear,,"{'cls__C': 1.0, 'cls__kernel': 'linear'}",0.855,0.8483333333333334,0.8133333333333334,0.8233333333333334,0.8416666666666667,0.8083333333333333,0.8133333333333334,0.8316666666666667,0.8283333333333334,0.86,0.8323333333333333,0.017371752294393836,10,,,
28.335282802581787,0.17941884964535063,2.223853015899658,0.06069237232345574,1.0,rbf,,"{'cls__C': 1.0, 'cls__kernel': 'rbf'}",0.8483333333333334,0.855,0.81,0.8166666666666667,0.8283333333333334,0.805,0.8283333333333334,0.8216666666666667,0.825,0.8616666666666667,0.8300000000000001,0.018073922282301275,11,,,
18.675032639503478,0.558458326977148,1.7895447492599488,0.033199815822885136,1.0,sigmoid,,"{'cls__C': 1.0, 'cls__kernel': 'sigmoid'}",0.8533333333333334,0.8483333333333334,0.8133333333333334,0.8216666666666667,0.8383333333333334,0.8066666666666666,0.8116666666666666,0.83,0.8233333333333334,0.8483333333333334,0.8295,0.015986973864159974,12,,,
